X,Y,OBJECTID,Type,Detail,Name,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,Ownership,Management,Surface,Use_,Condition,lat,long
-89.978802715099278,46.706197728483382,78,Campground,State Park,Porcupine Mountains State Park Presque Isle,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,50,0,State,DNR,Dirt,Recreation,Unknown,46.70618926,-89.97879568
-89.640421345084476,46.824049308870478,79,Campground,State Park,Porcupine Mountains State Park Union Bay,Baraga,Ontonagon,Porcupine Mountains State Park,Modern,101,0,State,DNR,Dirt,Recreation,Unknown,46.8240408,-89.6404144
-83.051935649329934,44.00984646017929,80,Campground,State Park,Port Crescent State Park  ,Bay City,Huron,Port Crescent State Park,Modern,137,0,State,DNR,Dirt,Recreation,Unknown,44.009838,-83.05193107
-83.526116317100346,42.562616275419089,81,Campground,State Park,Proud Lake Recreation Area  ,Pontiac,Oakland,Proud Lake Recreation Area,Modern,128,0,State,DNR,Dirt,Recreation,Unknown,42.56260808,-83.52611174
-83.557108196333672,42.57381484398595,82,Campground,State Park,Proud Lake Recreation Area  ,Pontiac,Oakland,Proud Lake Recreation Area,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,42.57380665,-83.5571036
-89.612686782217224,46.818363950192506,83,Campground,State Park,Porcupine Mountains State Park  ,Baraga,Ontonagon,Porcupine Mountains State Park,Group,10,0,State,DNR,Dirt,Recreation,Unknown,46.81835544,-89.61267985
-89.679393136432353,46.753929362474096,84,Campground,State Park,Porcupine Mountains State Park Lost Creek,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,State,DNR,Dirt,Recreation,Unknown,46.75392086,-89.67938619
-89.622519639543583,46.797820803568456,85,Campground,State Park,Porcupine Mountains State Park Union River,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,State,DNR,Dirt,Recreation,Unknown,46.7978123,-89.6225127
-89.72661045585663,46.742726461843617,86,Campground,State Park,Porcupine Mountains State Park White Pine,Baraga,Ontonagon,Porcupine Mountains State Park,Rustic,1,0,State,DNR,Dirt,Recreation,Unknown,46.74271797,-89.7266035
-83.65535649028368,42.80844480242942,87,Campground,State Park,Seven Lakes State Park  ,Bay City,Oakland,Seven Lakes State Park,Modern,75,4,State,DNR,Dirt,Recreation,Unknown,42.80843657,-83.65535185
-83.210549172106369,43.979574471811723,88,Campground,State Park,Sleeper State Park  ,Bay City,Huron,Sleeper State Park,Modern,223,7,State,DNR,Dirt,Recreation,Unknown,43.97956602,-83.21054455
